year,week,games,opp_types,chalk_pwin,ana_pwin,opt_secs,sim_chalk_winpct,sim_ana_winpct,act_rank,act_behind,g_rank,g_behind,g_live,g_oa,lv_rank,lv_behind,lv_live,lv_oa,an_rank,an_behind,an_live,an_oa
2024,3,16,2,0.009183587366052542,0.05375658630957975,71.87744784355164,0.009,0.098,49,36,16,17,1,1,48,34,0,0,21,20,0,0
2024,6,14,4,0.009610463393802733,0.07933402022018123,102.03467011451721,0.0045,0.086,53,65,53,44,0,0,53,98,0,0,35,13,1,1
2024,9,15,5,0.01203498731914533,0.0981443096798439,163.32217478752136,0.013,0.138,45,25,53,48,0,0,53,71,0,0,35,18,1,1
2024,12,13,3,0.00240825215144029,0.058941099676263715,67.14693188667297,0.0015,0.099,43,26,27,20,1,1,52,40,0,0,27,20,1,1
2024,15,16,3,0.0040499675522236425,0.08238977112881649,120.01910924911499,0.0015,0.0925,50,50,51,63,0,0,50,47,0,0,51,54,0,0
2025,2,16,4,0.002631987566861408,0.07200735689248829,165.27015018463135,0.0015,0.111,47,29,56,56,0,0,56,111,0,0,56,48,0,0
2025,5,14,2,0.006626193565125755,0.07441608624837104,48.94950723648071,0.014,0.1,3,10,21,22,1,1,9,15,1,1,3,8,0,0
2025,9,14,3,0.0072132181552822935,0.08244462962050364,87.61214184761047,0.014,0.107,54,30,1,0,4,1,54,32,0,0,46,19,0,0
2025,12,14,4,0.009316493806404244,0.08242383985552722,113.05067586898804,0.011,0.114,42,20,52,37,0,0,2,4,0,0,18,13,1,1
2025,15,16,3,0.016660245832668237,0.07333881608945207,135.84851264953613,0.025,0.105,43,33,28,23,1,1,2,8,1,1,9,15,0,0
