year,week,games,opp_types,chalk_pwin,ana_pwin,opt_secs,sim_chalk_winpct,sim_ana_winpct,act_rank,act_behind,g_rank,g_behind,g_live,g_oa,lv_rank,lv_behind,lv_live,lv_oa,an_rank,an_behind,an_live,an_oa
2024,2,16,3,0.0063634446846924,0.0655788642199591,124.0328860282898,0.0065,0.094,39,25,52,37,0,0,52,37,0,0,40,26,1,1
2024,3,16,2,0.0091835873660525,0.0537565863095797,71.58798599243164,0.0095,0.1015,49,36,6,11,3,1,6,11,3,1,21,20,0,0
2024,4,16,4,0.0125266727512914,0.05901056432054,189.2647352218628,0.0275,0.084,53,56,52,45,0,0,52,45,0,0,34,25,1,1
2024,5,14,3,0.0052642707112153,0.0743408351658823,84.96830797195435,0.007,0.094,47,30,35,23,0,0,35,23,0,0,40,27,0,0
2024,6,14,4,0.0096104633938027,0.0793340202201812,117.43590831756592,0.009,0.0825,53,65,52,41,0,0,52,41,0,0,35,13,1,1
2024,7,15,3,0.0063875071699073,0.0768430555405369,113.01368117332458,0.008,0.1065,51,32,53,52,0,0,53,52,0,0,53,47,0,0
2024,8,16,3,0.0066852513965854,0.074500701982119,142.2322769165039,0.008,0.098,51,53,51,56,0,0,51,56,0,0,51,52,0,0
2024,9,15,5,0.0120349873191453,0.0981443096798439,196.77637004852295,0.0125,0.144,45,25,53,62,0,0,53,62,0,0,35,18,1,1
2024,10,14,4,0.0098376037198198,0.0893328373370365,109.03766179084778,0.014,0.1275,52,45,53,65,0,0,53,65,0,0,51,31,0,0
2024,11,14,3,0.0054134282120048,0.0704070990914173,83.52279496192932,0.004,0.0895,50,31,45,25,0,0,45,25,0,0,34,15,1,1
2024,12,13,3,0.0024082521514402,0.0589410996762637,74.5906629562378,0.0,0.1045,43,26,52,46,0,0,52,46,0,0,27,20,1,1
2024,13,16,5,0.0038938318395905,0.074742458831511,199.91582417488095,0.0015,0.083,51,44,51,43,0,0,51,43,0,0,51,41,0,0
2024,14,13,2,0.0032398572015508,0.0806668272189944,45.18876814842224,0.0035,0.085,50,36,34,17,1,1,34,17,1,1,34,17,1,1
2024,15,16,3,0.0040499675522236,0.0823897711288164,128.44807505607605,0.0045,0.105,50,50,51,74,0,0,51,74,0,0,51,54,0,0
2024,16,16,3,0.0017493969048952,0.0716283709379198,112.29670214653017,0.001,0.1075,50,49,50,56,0,0,50,56,0,0,11,5,1,1
2024,17,16,3,0.0129279474036159,0.0889202263164867,106.34836411476137,0.0145,0.114,48,36,49,71,0,0,49,71,0,0,48,36,0,0
2025,1,16,1,0.0040077170557476,0.0619598685574262,39.87273812294006,0.0055,0.087,12,11,56,84,0,0,56,84,0,0,50,34,0,0
2025,2,16,4,0.0026319875668614,0.0720073568924882,151.20506978034973,0.003,0.117,47,29,56,106,0,0,56,106,0,0,56,48,0,0
2025,3,16,2,0.0022864018558833,0.0691991495024205,83.37045979499817,0.0025,0.089,47,34,55,55,0,0,55,55,0,0,53,43,0,0
2025,5,14,2,0.0066261935651257,0.074416086248371,46.34116315841675,0.016,0.113,3,10,47,33,0,0,47,33,0,0,3,8,0,0
2025,6,15,1,0.0046175492239731,0.0791207607403663,36.13854098320007,0.0055,0.1225,12,8,54,34,0,0,54,34,0,0,1,0,12,1
2025,7,15,3,0.0038362969638586,0.0610269735024594,98.58769392967224,0.004,0.0825,54,46,51,40,0,0,51,40,0,0,48,34,0,0
2025,9,14,3,0.0072132181552822935,0.08244462962050364,85.71963405609131,0.011,0.125,54,30,48,20,0,0,48,20,0,0,46,19,0,0
2025,10,14,1,0.003607795626170809,0.08039101713163747,29.81613516807556,0.0025,0.103,54,32,4,1,4,1,4,1,4,1,12,8,1,1
2025,11,15,5,0.01212090318306657,0.07595095002474125,166.3898687362671,0.0145,0.103,26,14,55,55,0,0,55,55,0,0,52,27,0,0
2025,12,14,4,0.009316493806404244,0.08242383985552722,109.23241591453552,0.0145,0.107,42,20,28,15,1,1,28,15,1,1,18,13,1,1
2025,14,14,2,0.005587197185507808,0.06793594542959731,53.02841377258301,0.002,0.0995,38,31,2,12,3,1,2,12,3,1,26,25,0,0
2025,15,16,3,0.016660245832668237,0.07333881608945207,110.2231559753418,0.023,0.1155,43,33,49,45,0,0,49,45,0,0,9,15,0,0
2025,17,16,3,0.004128743448940035,0.04879017328414985,124.0770320892334,0.004,0.0775,52,75,1,0,9,1,1,0,9,1,1,0,8,1
