year,week,scenario,games,final,frozen,free,act_rank,act_behind,g_rank,g_behind,g_live,g_oa,an_rank,an_behind,an_live,an_oa
2025,2,cutoff6,16,6,6,10,47,29,56,53,0,0,56,54,0,0
2025,2,cutoff2,16,2,2,14,47,29,56,58,0,0,56,51,0,0
2025,2,kickoff2,16,2,10,6,47,29,56,58,0,0,56,46,0,0
2025,3,cutoff6,16,6,6,10,47,34,56,66,0,0,56,71,0,0
2025,3,cutoff2,16,2,2,14,47,34,55,54,0,0,37,27,1,1
2025,3,kickoff2,16,2,10,6,47,34,55,54,0,0,41,30,0,0
2025,6,cutoff6,15,6,6,9,12,8,54,32,0,0,1,0,6,1
2025,6,cutoff2,15,2,2,13,12,8,55,67,0,0,1,0,8,1
2025,6,kickoff2,15,2,2,13,12,8,55,67,0,0,1,0,8,1
2025,9,cutoff6,14,6,6,8,54,30,17,9,1,1,12,6,1,1
2025,9,cutoff2,14,2,2,12,54,30,42,16,1,1,54,28,0,0
2025,9,kickoff2,14,2,9,5,54,30,42,16,1,1,54,25,0,0
2025,12,cutoff6,14,6,6,8,42,20,52,38,0,0,51,35,0,0
2025,12,cutoff2,14,2,2,12,42,20,54,53,0,0,53,43,0,0
2025,12,kickoff2,14,2,8,6,42,20,54,53,0,0,52,40,0,0
