year,week,games,field,skills_exact,skills_fuzzy,skills_default,me_actual_pts,me_actual_rank,me_opt_pts,me_opt_rank,opt_won,opt_top3,opt_beats_actual_pts,opt_beats_actual_rank,winner_pts_actual,winner_pts_opt,lev_pts,lev_rank,lev_won,lev_top3,lev_beats_actual_pts,lev_beats_greedy_rank
2024,3,16,54,54,0,0,43,49,85,1,1,1,1,1,79,85,79,1,1,1,1,0
2024,6,14,54,54,0,0,40,53,46,53,0,0,1,0,105,105,36,53,0,0,0,0
2024,9,15,53,54,0,0,88,45,61,53,0,0,0,0,113,113,35,53,0,0,0,0
2024,12,13,52,54,0,0,52,43,34,52,0,0,0,0,78,78,32,52,0,0,0,0
2024,15,16,52,54,0,0,84,50,72,51,0,0,0,0,134,134,47,52,0,0,0,0
2025,2,16,56,56,0,0,100,47,32,56,0,0,0,0,129,129,54,56,0,0,0,0
2025,5,14,56,56,0,0,52,3,51,5,0,0,0,0,62,62,51,5,0,0,0,0
2025,9,14,56,56,0,0,47,54,51,54,0,0,1,0,77,77,30,55,0,0,0,0
2025,12,14,55,56,0,0,79,42,74,48,0,0,0,0,99,99,95,2,0,1,1,1
2025,15,16,56,56,0,0,85,43,68,52,0,0,0,0,118,118,96,23,0,0,1,1
