year,week,games,field,skills_exact,skills_fuzzy,skills_default,me_actual_pts,me_actual_rank,me_opt_pts,me_opt_rank,opt_won,opt_top3,opt_beats_actual_pts,opt_beats_actual_rank,winner_pts_actual,winner_pts_opt
2024,3,16,54,54,0,0,43,49,82,1,1,1,1,1,79,82
2024,6,14,54,54,0,0,40,53,75,50,0,0,1,1,105,105
2024,9,15,53,54,0,0,88,45,51,53,0,0,0,0,113,113
2024,12,13,52,54,0,0,52,43,32,52,0,0,0,0,78,78
2024,15,16,52,54,0,0,84,50,55,51,0,0,0,0,134,134
2025,2,16,56,56,0,0,100,47,64,56,0,0,0,0,129,129
2025,5,14,56,56,0,0,52,3,54,3,0,1,1,0,62,62
2025,9,14,56,56,0,0,47,54,55,52,0,0,1,1,77,77
2025,12,14,55,56,0,0,79,42,58,52,0,0,0,0,99,99
2025,15,16,56,56,0,0,85,43,78,47,0,0,0,0,118,118
