year,week,games,g_rank,g_behind,g_live,g_oneaway,l0_0_rank,l0_0_behind,l0_0_live,l0_0_oneaway,l1_0_rank,l1_0_behind,l1_0_live,l1_0_oneaway,l2_0_rank,l2_0_behind,l2_0_live,l2_0_oneaway,l3_0_rank,l3_0_behind,l3_0_live,l3_0_oneaway,l5_0_rank,l5_0_behind,l5_0_live,l5_0_oneaway
2024,3,16,45,31,0,0,4,9,4,1,20,19,1,1,1,0,6,1,42,30,0,0,48,35,0,0
2024,6,14,53,73,0,0,53,49,0,0,49,28,0,0,53,60,0,0,53,68,0,0,53,66,0,0
2024,9,15,53,88,0,0,53,61,0,0,53,48,0,0,53,45,0,0,53,61,0,0,53,63,0,0
2024,12,13,5,12,2,1,50,34,0,0,21,19,0,0,51,39,0,0,49,31,0,0,52,41,0,0
2024,15,16,49,34,0,0,51,76,0,0,50,48,0,0,51,80,0,0,51,52,0,0,52,87,0,0
2025,2,16,56,45,0,0,56,57,0,0,56,76,0,0,56,98,0,0,56,86,0,0,56,59,0,0
2025,5,14,2,4,3,1,16,20,0,0,3,6,2,1,55,43,0,0,1,0,6,1,9,15,2,1
2025,9,14,13,8,1,1,17,9,0,0,55,44,0,0,55,38,0,0,50,21,0,0,7,4,4,1
2025,12,14,54,53,0,0,2,4,1,1,2,4,2,1,52,41,0,0,50,28,0,0,51,32,0,0
2025,15,16,19,20,0,0,7,12,1,1,18,19,1,1,2,8,1,1,49,43,0,0,54,59,0,0
